City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,nouadhibou,20.931,-17.0347,22.99,64,7,7.2,MR,1680548987
256,selizharovo,56.8519,33.4487,0.29,99,100,2.04,RU,1680548989
257,zhangye,38.9342,100.4517,6.1,42,100,4.71,CN,1680548991
258,kannod,22.6667,76.7333,27.59,28,0,4.16,IN,1680548993
259,cherskiy,68.75,161.3,-24.41,90,100,3.81,RU,1680548995
260,robertsport,6.7533,-11.3686,27.07,83,45,3.16,LR,1680548997
261,nileshwar,12.25,75.1,24.84,78,5,3.11,IN,1680549000
262,kavaratti,10.5669,72.642,28.07,68,16,4.87,IN,1680549002
263,vallenar,-28.5708,-70.7581,30.3,29,10,4.09,CL,1680549004
264,omboue,-1.5746,9.2618,26.02,84,100,3.15,GA,1680549007
265,faya,18.3851,42.4509,15.29,59,5,1.75,SA,1680549009
266,saint-pierre,-21.3393,55.4781,24.2,83,0,2.06,RE,1680549011
267,willmar,45.1219,-95.0433,2.01,75,100,4.12,US,1680549013
268,kodinsk,58.6881,99.1844,-2.55,95,100,4.86,RU,1680549016
269,sitka,57.0531,-135.33,3.94,70,20,1.54,US,1680549018
270,mondlo,-27.983,30.7177,15.2,86,9,1.14,ZA,1680549020
271,changying,52.8733,123.3213,-9.19,70,30,6.1,CN,1680549023
272,gwanda,-20.9333,29.0,20.15,52,1,2.54,ZW,1680549026
273,arsenyev,44.1631,133.2733,8.01,71,100,1.14,RU,1680549028
274,champerico,14.3,-91.9167,35.3,60,33,5.43,GT,1680549031
275,machala,-3.2667,-79.9667,29.64,67,100,3.95,EC,1680549033
276,fairbanks,64.8378,-147.7164,-4.95,78,0,4.12,US,1680548961
277,asmar,35.0333,71.3581,13.28,88,100,1.44,AF,1680549038
278,aldan,58.6031,125.3894,-11.56,94,100,4.89,RU,1680549040
279,ambulu,-8.345,113.6058,23.39,91,100,1.39,ID,1680549042
280,sao filipe,14.8961,-24.4956,24.44,66,0,2.33,CV,1680549044
281,namibe,-15.1961,12.1522,24.56,69,93,3.73,AO,1680548924
282,komsomolskiy,40.4272,71.7189,15.4,58,75,5.14,UZ,1680549048
283,kericho,-0.3677,35.2831,14.09,97,97,1.23,KE,1680549051
284,marzuq,14.4,46.4667,23.9,66,85,2.18,YE,1680549055
285,dunedin,-45.8742,170.5036,12.67,75,100,2.92,NZ,1680549057
286,general cepeda,25.3833,-101.45,32.82,13,87,3.56,MX,1680549060
287,barkhera,28.45,79.8,23.01,43,22,1.92,IN,1680549062
288,sorong,-0.8833,131.25,25.75,85,100,2.22,ID,1680549064
289,dwarka,22.2394,68.9678,25.07,82,3,5.29,IN,1680549066
290,biak,-0.9131,122.8766,23.76,91,100,3.5,ID,1680549069
291,severnoye,56.3491,78.3619,-3.32,94,83,2.64,RU,1680549071
292,raudeberg,61.9875,5.1352,4.98,72,48,7.93,NO,1680549000
293,upernavik,72.7868,-56.1549,-23.57,92,80,1.41,GL,1680549076
294,pand,47.3533,19.6357,6.35,63,41,7.91,HU,1680549078
295,na wa,17.4897,104.1006,27.42,55,2,2.21,TH,1680549080
296,valdemarpils,57.3707,22.5919,-1.07,69,15,5.23,LV,1680549085
297,andenes,69.3143,16.1194,2.99,75,75,9.26,NO,1680549088
